iter	Passed	Remaining
0	2	204
1	4	204
2	6	201
3	8	192
4	10	192
5	12	191
6	14	189
7	16	187
8	18	185
9	20	184
10	22	181
11	24	178
12	26	176
13	28	173
14	30	170
15	32	171
16	34	166
17	36	166
18	38	163
19	39	158
20	40	153
21	42	149
22	43	144
23	44	139
24	45	135
25	46	131
26	47	127
27	47	123
28	48	119
29	49	116
30	50	113
31	51	110
32	52	107
33	53	104
34	54	101
35	55	98
36	56	95
37	56	92
38	57	90
39	58	88
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	62	73
46	63	71
47	64	70
48	65	68
49	66	66
50	66	64
51	67	62
52	68	60
53	69	58
54	69	56
55	70	55
56	70	53
57	71	51
58	72	50
59	72	48
60	73	47
61	74	45
62	74	43
63	75	42
64	76	41
65	76	39
66	77	38
67	78	36
68	78	35
69	79	34
70	80	32
71	81	31
72	81	30
73	82	28
74	83	27
75	83	26
76	84	25
77	85	24
78	86	22
79	86	21
80	87	20
81	88	19
82	88	18
83	89	17
84	90	15
85	91	14
86	91	13
87	92	12
88	93	11
89	94	10
90	94	9
91	95	8
92	96	7
93	96	6
94	97	5
95	98	4
96	99	3
97	99	2
98	100	1
99	101	0
